      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230324.01  180338     0.763     0.860    00:00:50      L109200.3
 20230324.01  180339     1.220     1.204    00:00:57      L109200.3
 20230324.01  180340     0.000     0.751    00:00:46              *
 20230324.01  180341     0.995     0.972    00:00:54      L110200.0
 20230324.01  180342     0.000     1.631    00:00:43              *
 20230324.01  180343     0.878     0.939    00:00:49      L114200.1
 20230324.01  180344     0.000     0.908    00:01:06              *
 20230324.01  180345     0.000     0.867    00:00:49              *
 20230324.01  180346     0.765     0.764    00:00:46      L114100.1
 20230324.01  180347     1.003     1.164    00:01:07      L114800.0
 20230324.01  180348     0.717     0.745    00:00:45      L114800.0
 20230324.01  180349     0.888     0.995    00:00:53      L114300.1
 20230324.01  180350     0.000     0.391    00:00:23              *
 20230324.02  930025     0.345     2.359    00:01:46      L308500.1
 20230324.02  310703     5.379     5.392    00:03:48      L310700.1
 20230324.02  310803     5.478     5.517    00:03:37      L310800.0
 20230324.02  310903     6.117     6.309    00:04:44      L310900.0
 20230324.02  311003     6.155     6.277    00:04:37      L311000.0
 20230324.02  311103     6.202     6.338    00:04:56      L311100.0
 20230324.02  311203     6.136     6.156    00:04:09      L311200.0
 20230324.02  311303     6.158     6.248    00:04:59      L311300.0
 20230324.02  311404     6.102     6.279    00:04:36      L311400.0
 20230324.02  311503     5.957     6.014    00:04:28      L311500.0
 20230324.02  311603     6.121     6.126    00:04:08      L311600.0
 20230324.02  311701     6.067     6.074    00:04:09      L311700.0
 20230324.02  311801     6.197     6.211    00:04:00      L311800.0
 20230324.02  311901     2.723     2.712    00:02:06      L311900.1
 20230324.02  311902     2.905     2.898    00:02:13      L311900.0
 20230324.02  312001     2.902     2.887    00:02:00      L312000.0
 20230324.02  312002     2.746     2.758    00:02:00      L312000.1
 20230324.02  312101     2.632     2.638    00:02:02      L312100.1
 20230324.02  312201     2.825     2.839    00:02:06      L312200.1
 20230324.02  312301     2.793     2.793    00:02:10      L312300.1
 20230324.02  312401     3.017     3.030    00:02:28      L312400.1
 20230324.02  312402     5.288     5.312    00:03:33      L312400.2
 20230324.02  312501     5.345     5.366    00:03:49      L312500.2
 20230324.02  312502     3.073     3.097    00:02:18      L312500.1
 20230324.02  312601     8.353     8.371    00:05:24      L312600.1
 20230324.02  312701     8.340     8.427    00:06:16      L312700.1
 20230324.02  312801     8.399     8.533    00:05:58      L312800.1
 20230324.02  312901     8.226     8.548    00:06:53      L312900.1
 20230324.02  313001     8.915     9.045    00:06:06      L313000.1
 20230324.02  313101     9.231     9.260    00:06:27      L313100.1
 20230324.02  313201     9.539     9.546    00:05:56      L313200.1
 20230324.02  313301    10.047    10.109    00:07:15      L313300.1
 20230324.02  313401    10.294    10.415    00:06:52      L313400.1
 20230324.02  313501    10.347    10.694    00:08:12      L313500.1
 20230324.02  313502     3.092     3.093    00:02:13      L313500.0
 20230324.02  313402     3.043     3.050    00:02:02      L313400.0
 20230324.02  313302     2.999     2.985    00:02:18      L313300.0
 20230324.02  313202     2.978     2.978    00:02:03      L313200.0
 20230324.02  920025     0.000     1.042    00:00:45              *
 20230324.02  383007     0.274     0.827    00:00:44      L309900.0
 20230324.02  383008     0.000     1.202    00:01:11              *
