Flight Line FlownMis FlownHel Production Mission Occurrence
20230322.01 305403 5.021 5.119 00:04:06 L305400.1 1
20230322.01 305402 2.143 2.44 00:02:18 L305400.1 2
20230325.01 305404 1.107 1.105 00:01:00 L305400.2 1
20230321.01 305501 4.153 4.188 00:03:22 L305500.0 1
20230322.01 305502 7.476 8.326 00:07:24 L305500.1 1
20230325.01 305503 1.195 1.226 00:01:06 L305500.2 1
20230321.01 305601 4.153 4.278 00:02:53 L305600.0 1
20230322.01 305603 5.805 6.001 00:05:03 L305600.1 1
20230322.01 305602 1.01 0.984 00:00:49 L305600.1 2
20230325.01 305604 1.157 1.17 00:01:14 L305600.2 1
20230321.02 305701 4.762 4.763 00:04:09 L305700.0 1
20230322.01 305702 7.417 7.74 00:06:59 L305700.1 1
20230325.01 305703 1.115 1.096 00:01:01 L305700.2 1
20230321.02 305801 2.659 2.662 00:01:58 L305800.0 1
20230322.01 305802 7.573 7.655 00:06:00 L305800.1 1
20230325.01 305803 0.902 0.901 00:00:55 L305800.2 1
20230321.02 305901 2.936 2.943 00:02:25 L305900.0 1
20230322.01 305902 2.285 2.281 00:01:42 L305900.1 1
20230322.01 305903 7.581 7.644 00:06:24 L305900.2 1
20230325.01 305904 0.94 0.949 00:00:52 L305900.3 1
20230321.02 306001 2.877 2.855 00:02:11 L306000.0 1
20230322.01 306002 2.369 2.365 00:01:55 L306000.1 1
20230322.01 306003 1.05 1.052 00:00:56 L306000.2 1
20230322.01 306004 7.699 7.8 00:06:02 L306000.3 1
20230325.01 306005 1.029 1.02 00:01:01 L306000.4 1
20230321.02 306101 3.267 3.272 00:02:14 L306100.0 1
20230322.01 306102 2.337 2.372 00:02:08 L306100.1 1
20230322.01 306103 9.306 9.454 00:07:43 L306100.2 1
20230325.01 306104 1.086 1.077 00:00:50 L306100.3 1
20230325.01 306105 1.065 1.086 00:00:59 L306100.4 1
20230321.02 306201 3.174 3.232 00:02:17 L306200.0 1
20230322.01 306203 2.136 2.125 00:01:44 L306200.1 1
20230322.01 306202 9.307 9.522 00:07:25 L306200.2 1
20230325.01 306204 1.047 1.046 00:00:53 L306200.3 1
20230321.02 306301 3.533 3.634 00:02:45 L306300.0 1
20230322.01 306302 11.626 11.737 00:09:05 L306300.2 1
20230325.01 306303 1.248 1.25 00:00:59 L306300.3 1
20230321.02 306401 3.499 4.371 00:03:20 L306400.0 1
20230323.01 930022 1.84 2.519 00:01:43 * 15
20230322.01 306402 11.313 11.509 00:08:38 L306400.1 1
20230325.01 306403 1.579 1.58 00:01:19 L306400.2 1
20230321.02 306501 3.767 3.999 00:03:04 L306500.0 1
20230322.01 306502 4.971 5.013 00:04:04 L306500.1 1
20230322.01 306503 5.567 5.81 00:05:04 L306500.1 2
20230325.01 306504 1.822 1.819 00:01:17 L306500.2 1
20230321.02 306601 3.611 3.836 00:02:46 L306600.0 1
20230322.01 306602 3.825 3.814 00:03:04 L306600.1 1
20230322.02 306604 2.219 2.218 00:01:41 L306600.1 2
20230322.02 306603 4.557 4.642 00:03:35 L306600.1 3
20230325.01 306605 2.429 2.454 00:01:59 L306600.2 1
20230321.02 306701 3.805 3.958 00:02:48 L306700.0 1
20230322.01 306702 3.73 3.862 00:03:22 L306700.1 1
20230322.02 306703 2.263 2.259 00:01:37 L306700.1 2
20230322.02 306705 2.844 2.85 00:02:13 L306700.1 3
20230322.02 306704 0.596 0.584 00:00:34 L306700.1 4
20230325.01 306706 2.758 2.752 00:01:50 L306700.2 1
20230321.02 306801 3.626 3.647 00:02:31 L306800.0 1
20230322.02 306803 4.441 4.642 00:03:58 L306800.1 1
20230322.02 306802 5.349 5.527 00:04:50 L306800.1 2
20230325.01 306804 2.684 2.702 00:02:19 L306800.2 1
20230321.02 306901 3.612 3.617 00:02:35 L306900.0 1
20230322.02 306902 5.703 5.764 00:04:21 L306900.1 1
20230322.02 306903 4.587 4.771 00:03:45 L306900.1 2
20230325.01 306904 3.38 3.372 00:02:05 L306900.1 3
20230321.02 307001 3.631 3.637 00:02:48 L307000.0 1
20230322.02 307002 5.875 5.881 00:04:40 L307000.1 1
20230322.02 307003 4.594 4.726 00:03:41 L307000.1 2
20230325.01 307004 0.959 0.95 00:00:52 L307000.2 1
20230414.02 307005 2.921 2.925 00:02:12 L307000.2 2
20230321.02 307101 3.559 3.561 00:02:37 L307100.0 1
20230414.02 307104 2.732 2.72 00:02:11 L307100.1 1
20230322.02 307102 11.637 11.82 00:07:59 L307100.1 2
20230325.01 307103 0.999 0.99 00:00:49 L307100.2 1
20230321.02 307201 3.637 3.649 00:02:34 L307200.0 1
20230322.02 307202 11.364 11.72 00:08:48 L307200.1 1
20230414.02 307204 2.586 2.609 00:02:00 L307200.2 1
20230325.01 307203 0.979 0.969 00:00:51 L307200.2 2
20230321.02 307301 3.617 3.624 00:02:38 L307300.0 1
20230414.02 307305 3.234 3.301 00:02:49 L307300.1 1
20230322.02 307302 8.997 9.102 00:06:37 L307300.1 2
20230323.01 307303 2.522 2.578 00:01:58 L307300.1 3
20230325.01 307304 0.989 0.977 00:00:47 L307300.2 1
20230321.02 307401 3.609 3.734 00:02:51 L307400.0 1
20230322.02 307402 8.961 9.032 00:06:02 L307400.1 1
20230323.01 307403 2.966 2.96 00:02:07 L307400.1 2
20230414.02 307404 3.172 3.238 00:02:26 L307400.3 1
20230321.02 307501 3.716 3.714 00:02:45 L307500.0 1
20230322.02 307502 2.29 2.28 00:01:49 L307500.1 1
20230414.02 307505 3.037 3.025 00:02:26 L307500.1 2
20230323.01 307503 1.474 1.463 00:01:21 L307500.1 3
20230323.01 307504 8.797 8.932 00:07:04 L307500.1 4
20230321.01 307601 0.726 0.713 00:00:33 L307600.0 1
20230321.02 307602 3.658 3.654 00:02:42 L307600.1 1
20230323.01 307604 9.369 9.563 00:06:36 L307600.2 1
20230322.02 307603 2.048 2.052 00:01:39 L307600.2 2
20230414.02 307605 3.196 3.203 00:02:16 L307600.2 3
20230321.01 383001 0.27 0.379 00:00:20 383001 1
20230321.01 307701 1.236 1.244 00:01:00 L307700.0 1
20230321.02 307702 3.759 3.774 00:02:45 L307700.1 1
20230323.01 307703 11.084 11.317 00:08:44 L307700.2 1
20230414.02 307704 3.105 3.098 00:02:25 L307700.2 2
20230321.02 307801 3.704 3.714 00:02:39 L307800.1 1
20230414.02 307804 3.504 3.521 00:02:33 L307800.2 1
20230323.01 307802 1.496 1.519 00:01:17 L307800.2 2
20230323.02 307803 9.873 10.134 00:07:01 L307800.2 3
20230325.01 383014 0.305 1.128 00:01:00 383014 1
20230321.01 307901 0.901 0.883 00:00:46 L307900.0 1
20230321.02 307902 2.981 2.992 00:02:20 L307900.1 1
20230414.02 307906 3.389 3.538 00:02:59 L307900.2 1
20230323.01 307903 1.617 1.587 00:01:09 L307900.2 2
20230323.02 307904 7.612 7.861 00:05:56 L307900.2 3
20230323.02 307905 2.778 2.764 00:02:05 L307900.2 4
20230321.01 308001 1.501 1.485 00:01:04 L308000.0 1
20230321.01 383002 0.182 0.479 00:00:24 383002 1
20230321.02 308002 2.953 3.003 00:02:21 L308000.1 1
20230325.01 930026 3.299 3.277 00:01:41 * 16
20230323.02 308003 9.153 9.253 00:06:03 L308000.2 1
20230414.02 308004 3.565 3.624 00:02:38 L308000.3 1
20230321.01 308101 1.548 1.54 00:01:22 L308100.0 1
20230321.02 308102 3.062 3.081 00:02:19 L308100.1 1
20230323.02 308103 9.097 9.167 00:06:49 L308100.2 1
20230414.02 308104 3.428 3.465 00:02:46 L308100.3 1
20230321.01 308201 1.313 1.357 00:01:01 L308200.0 1
20230321.02 308202 3.026 3.031 00:02:35 L308200.1 1
20230323.02 308203 6.642 6.724 00:04:22 L308200.2 1
20230321.02 308203 3.135 3.129 00:02:18 L308200.2 2
20230414.02 308206 3.539 3.601 00:02:31 L308200.3 1
20230325.01 308204 0.312 0.316 00:00:22 L308200.4 1
20230321.01 308301 1.368 1.397 00:01:17 L308300.0 1
20230321.02 308302 7.514 7.515 00:05:48 L308300.1 1
20230323.02 308303 6.26 6.266 00:04:22 L308300.1 2
20230414.02 308305 3.668 3.697 00:02:57 L308300.2 1
20230325.01 308304 0.299 0.299 00:00:20 L308300.3 1
20230321.01 308401 1.059 1.04 00:00:46 L308400.0 1
20230321.02 308402 7.509 7.501 00:05:15 L308400.1 1
20230323.02 308403 6.272 6.292 00:04:12 L308400.1 2
20230414.02 308405 0.479 0.507 00:00:25 L308400.2 1
20230414.02 308406 3.75 3.743 00:02:37 L308400.2 2
20230325.01 308404 0.44 0.421 00:00:25 L308400.3 1
20230321.01 308501 1.059 1.032 00:00:54 L308500.0 1
20230323.02 308503 5.507 5.591 00:04:17 L308500.1 1
20230321.02 308502 7.391 7.406 00:06:00 L308500.1 2
20230324.02 930025 0.345 2.359 00:01:46 * 17
20230414.02 308505 3.778 3.792 00:03:00 L308500.2 1
20230414.02 308506 0.907 0.914 00:00:47 L308500.2 2
20230325.01 308504 1.765 1.759 00:01:30 L308500.3 1
20230321.01 308601 1.312 1.532 00:01:17 L308600.0 1
20230321.02 308602 7.46 7.497 00:05:43 L308600.1 1
20230323.02 308603 5.436 5.447 00:03:37 L308600.1 2
20230414.02 308605 0.805 0.796 00:00:37 L308600.2 1
20230414.02 308606 4.425 4.459 00:02:57 L308600.2 2
20230325.01 308604 2.035 2.017 00:01:24 L308600.3 1
20230321.01 308701 1.13 1.114 00:01:04 L308700.0 1
20230323.02 308703 5.529 5.524 00:04:02 L308700.1 1
20230321.02 308702 7.318 7.313 00:05:22 L308700.1 2
20230414.02 308705 5.956 5.944 00:04:49 L308700.2 1
20230325.01 308704 2.196 2.189 00:01:44 L308700.3 1
20230321.01 308801 1.185 1.168 00:00:54 L308800.0 1
20230323.02 308803 5.567 5.599 00:03:51 L308800.1 1
20230321.02 308802 6.995 7.013 00:05:23 L308800.1 2
20230414.02 308805 5.964 5.997 00:04:18 L308800.2 1
20230325.01 308804 2.487 2.469 00:01:41 L308800.3 1
